Rank,Country,type,score,electoral,government,participation,culture,liberties,Countries,effectiveness
1,Norway,Full democracy,9.81,10.0,9.64,10.0,10.0,9.41,Norway,1.8
2,New Zealand,Full democracy,9.61,10.0,9.29,10.0,8.75,10.0,New Zealand,1.53
3,Sweden,Full democracy,9.39,9.58,9.64,8.33,10.0,9.41,Sweden,1.6
4,Iceland,Full democracy,9.38,10.0,8.93,8.89,9.38,9.71,Iceland,1.56
5,Switzerland,Full democracy,9.32,9.58,9.29,8.33,10.0,9.41,Switzerland,2.13
6,Finland,Full democracy,9.3,10.0,9.64,7.78,9.38,9.71,Finland,1.74
7,Denmark,Full democracy,9.28,10.0,9.29,8.33,9.38,9.41,Denmark,2.02
8,Ireland,Full democracy,9.19,10.0,8.21,8.33,10.0,9.41,Ireland,1.59
9,Netherlands,Full democracy,9.0,9.58,8.93,8.33,8.75,9.41,Netherlands,1.63
10,Luxembourg,Full democracy,8.88,10.0,9.29,6.67,8.75,9.71,Luxembourg,1.91
11,Australia,Full democracy,8.85,10.0,8.57,7.22,8.75,9.71,Australia,1.59
13,Germany,Full democracy,8.73,9.58,8.21,8.33,8.13,9.41,Germany,1.19
14,Canada,Full democracy,8.69,10.0,8.21,8.89,7.5,8.82,Canada,1.52
15,Uruguay,Full democracy,8.67,10.0,9.29,7.78,6.88,9.41,Uruguay,0.85
16,Japan,Full democracy,8.48,9.58,8.93,6.67,8.13,9.12,Japan,1.63
18,Costa Rica,Full democracy,8.29,9.58,7.5,7.78,6.88,9.71,Costa Rica,0.26
19,Austria,Full democracy,8.28,9.58,7.5,8.89,6.88,8.53,Austria,1.33
20,Mauritius,Full democracy,8.23,9.58,7.86,6.11,8.75,8.82,Mauritius,0.71
21,Estonia,Full democracy,8.13,10.0,8.57,6.67,6.88,8.53,Estonia,1.26
22,Spain,Full democracy,8.13,9.58,7.5,7.22,7.5,8.82,Spain,0.75
24,Portugal,Full democracy,8.08,9.58,7.14,6.11,8.75,8.82,Portugal,0.99
25,Greece,Full democracy,8.07,10.0,6.79,7.22,7.5,8.82,Greece,0.15
